stock_name,doubling_date,price_at_detection,price_after_lookahead,multiplier,years_of_data,days_to_target
PPL,2024-02-15,277.33,429.33,1.548,2.7,30
PRIN,2020-12-20,454.32,696.86,1.534,5.0,30
PRIN,2022-12-22,347.15,523.41,1.508,5.0,30
PRIN,2023-05-10,429.59,682.58,1.589,5.0,30
PROFL,2021-04-01,149.53,228.04,1.525,5.0,30
PROFL,2021-06-28,316.82,507.85,1.603,5.0,30
PROFL,2022-06-23,199.0,307.0,1.543,5.0,30
PROFL,2023-05-15,285.0,438.6,1.539,5.0,30
PROFL,2024-06-19,390.1,597.7,1.532,5.0,30
PRVU,2020-10-08,185.96,288.85,1.553,5.0,30
PRVU,2020-12-09,246.18,378.94,1.539,5.0,30
PRVU,2024-06-16,145.1,228.9,1.578,5.0,30
RADHI,2021-03-31,155.11,233.15,1.503,5.0,30
RADHI,2022-12-22,175.75,266.12,1.514,5.0,30
RADHI,2024-06-23,246.4,381.38,1.548,5.0,30
RADHI,2025-03-09,402.9,616.56,1.53,5.0,30
RBCL,2020-09-30,11122.0,16700.0,1.502,5.0,30
RBCL,2024-07-04,13052.0,20449.0,1.567,5.0,30
RFPL,2023-12-05,205.3,314.0,1.529,3.0,30
RFPL,2024-09-24,525.0,805.0,1.533,3.0,30
RFPL,2024-11-24,814.0,1331.0,1.635,3.0,30
RHPL,2020-10-20,219.0,337.0,1.539,5.0,30
RHPL,2024-06-18,275.0,419.0,1.524,5.0,30
RIDI,2023-12-03,152.93,231.33,1.513,2.9,30
RIDI,2024-06-23,165.8,250.0,1.508,2.9,30
RLFL,2020-12-20,120.24,181.12,1.506,5.0,30
RLFL,2021-04-20,211.55,333.13,1.575,5.0,30
RLFL,2021-06-28,358.44,561.75,1.567,5.0,30
RLFL,2022-06-22,230.05,356.81,1.551,5.0,30
RLFL,2024-07-02,430.0,679.0,1.579,5.0,30
RSDC,2020-12-27,408.43,669.63,1.64,5.0,30
SADBL,2021-04-20,182.4,280.14,1.536,5.0,30
SADBL,2021-07-06,290.92,442.54,1.521,5.0,30
SADBL,2024-06-20,297.44,448.14,1.507,5.0,30
SALICO,2020-12-17,661.25,1014.58,1.534,5.0,30
SAPDBL,2021-04-07,172.0,268.0,1.558,5.0,30
SAPDBL,2021-06-28,320.0,492.0,1.538,5.0,30
SAPDBL,2022-06-23,189.0,289.0,1.529,5.0,30
SAPDBL,2024-09-23,489.0,737.0,1.507,5.0,30
SAPDBL,2024-12-29,872.1,1315.8,1.509,5.0,30
SBI,2024-06-13,288.92,434.49,1.504,5.0,30
SFCL,2021-01-10,121.99,190.66,1.563,5.0,30
SFCL,2021-04-25,180.66,299.99,1.661,5.0,30
SFCL,2021-06-28,283.33,472.66,1.668,5.0,30
SFCL,2022-06-22,199.0,312.0,1.568,5.0,30
SFCL,2024-06-11,360.0,568.1,1.578,5.0,30
SFCL,2024-09-22,590.0,924.0,1.566,5.0,30
SFMF,2020-11-05,0.55,0.85,1.545,4.9,30
SFMF,2021-01-04,1.22,2.75,2.254,4.9,30
SFMF,2021-04-25,4.05,6.55,1.617,4.9,30
SFMF,2021-06-30,6.25,9.55,1.528,4.9,30
SGHC,2022-11-27,233.0,370.0,1.588,2.8,30
SGHC,2023-11-29,226.4,351.0,1.55,2.8,30
SGHC,2024-07-02,338.0,523.2,1.548,2.8,30
SGIC,2023-05-11,403.91,612.09,1.515,2.4,30
SHEL,2023-11-22,158.0,245.4,1.553,4.2,30
SHEL,2024-06-20,159.0,241.0,1.516,4.2,30
SHINE,2021-04-25,191.54,310.39,1.62,5.0,30
SHINE,2021-07-05,278.93,422.94,1.516,5.0,30
SHIVM,2020-10-12,618.45,974.86,1.576,5.0,30
SHIVM,2023-05-10,324.15,488.56,1.507,5.0,30
SHIVM,2024-06-27,435.74,675.26,1.55,5.0,30
SHL,2021-05-02,155.85,240.78,1.545,5.0,30
SHL,2023-05-02,229.87,352.38,1.533,5.0,30
SHLB,2024-02-26,818.2,1262.8,1.543,2.5,30
SHLB,2024-05-05,1230.0,1850.0,1.504,2.5,30
SHPC,2024-06-20,291.27,451.82,1.551,5.0,30
SICL,2020-12-20,791.88,1197.17,1.512,5.0,30
SICL,2024-06-30,617.45,930.0,1.506,5.0,30
SIFC,2021-04-21,231.43,356.06,1.539,5.0,30
SIFC,2021-06-28,359.62,557.13,1.549,5.0,30
SIFC,2022-06-23,244.46,373.88,1.529,5.0,30
SIFC,2024-06-20,435.38,673.43,1.547,5.0,30
SIKLES,2024-06-03,563.0,886.3,1.574,2.6,30
SIKLES,2024-12-16,788.9,1231.0,1.56,2.6,30
SINDU,2021-03-04,190.0,286.0,1.505,5.0,30
SINDU,2021-05-03,250.0,421.0,1.684,5.0,30
SINDU,2021-07-05,370.0,575.0,1.554,5.0,30
SINDU,2024-09-24,549.0,827.0,1.506,5.0,30
SINDU,2024-12-31,697.0,1119.9,1.607,5.0,30
SJCL,2020-10-20,195.0,311.0,1.595,5.0,30
SJCL,2021-02-18,305.0,489.0,1.603,5.0,30
SJCL,2022-12-07,222.4,342.0,1.538,5.0,30
SJCL,2024-06-26,260.0,404.0,1.554,5.0,30
SJLIC,2023-05-10,375.57,567.75,1.512,5.0,30
SJLIC,2024-06-30,400.6,607.2,1.516,5.0,30
SLBBL,2020-12-24,503.96,771.56,1.531,5.0,30
SLBSL,2020-12-08,782.73,1176.36,1.503,5.0,30
SLBSL,2024-01-28,854.0,1294.0,1.515,5.0,30
SLBSL,2024-11-19,1501.0,2353.0,1.568,5.0,30
